user_id,username,email,fecha_registro,pais,ciudad,nivel_verificacion,fecha_ultima_verificacion,estado_cuenta
1,gonzalezvictoria45_1,valentinogomez@example.net,2024-07-20,Argentina,Buenos Aires,completo,2024-07-21,activa
2,lunamartina38_2,diazjuan-bautista@example.org,2024-01-04,Argentina,Córdoba,basico,,activa
3,thiago-agustinquiroga23_3,ldiaz@example.com,2023-07-05,México,Guadalajara,intermedio,2023-07-29,activa
4,navarromateo21_4,jromero@example.org,2024-11-25,Colombia,Cartagena,basico,,activa
5,santino6114_5,thiago-leonel94@example.org,2024-10-31,Argentina,Tucumán,intermedio,2024-11-14,activa
6,yrojas21_6,molinamilena@example.net,2024-10-10,México,Ciudad de México,basico,,activa
7,dante1074_7,thiago-nahuelvelazquez@example.org,2024-08-24,Argentina,Córdoba,intermedio,2024-09-01,activa
8,alvarezfacundo13_8,mateo53@example.net,2024-11-28,Argentina,Tucumán,basico,,activa
9,constanza1993_9,mateo-benjaminmartinez@example.com,2024-03-09,Argentina,Tucumán,completo,2024-03-16,suspendida
10,operez63_10,ramiromansilla@example.org,2024-09-18,Argentina,Tucumán,basico,,activa
11,gaelcordoba67_11,nperez@example.net,2023-10-26,Argentina,Córdoba,basico,,activa
12,delfina7610_12,ifernandez@example.org,2024-08-21,Argentina,Tucumán,intermedio,2024-08-30,activa
13,thiago-valentin6999_13,isosa@example.net,2024-04-07,Argentina,Córdoba,basico,,suspendida
14,dgomez45_14,fernandezmateo@example.net,2023-09-30,Chile,Viña del Mar,completo,2023-10-11,activa
15,yluna37_15,dluna@example.net,2024-10-22,Argentina,Córdoba,basico,,activa
16,emanuel0123_16,camilo51@example.com,2024-10-13,Argentina,Rosario,basico,,activa
17,afernandez22_17,emanuel28@example.org,2024-03-15,Argentina,Buenos Aires,intermedio,2024-03-28,activa
18,maite8954_18,felipecoronel@example.net,2024-11-22,Argentina,Rosario,completo,2024-12-20,activa
19,juarezpilar15_19,soriaemiliano@example.com,2024-05-10,Argentina,Tucumán,completo,2024-05-19,activa
20,isabellalucero78_20,rodriguezpilar@example.org,2024-12-09,México,Puebla,basico,,activa
21,valentinoherrera58_21,thiago-benjaminhernandez@example.com,2024-12-20,Colombia,Bogotá,intermedio,2025-01-19,activa
22,alexandernavarro80_22,luz-milagrosruiz@example.net,2024-07-02,Argentina,Buenos Aires,basico,,activa
23,simon8790_23,martinezbautista@example.org,2024-05-21,Colombia,Cali,basico,,activa
24,salvadorgonzalez56_24,martinezmia-morena@example.com,2024-08-31,México,Tijuana,intermedio,2024-09-29,activa
25,gutierrezvictoria34_25,idiaz@example.net,2024-12-11,Argentina,Tucumán,basico,,activa
26,emartinez94_26,glopez@example.net,2024-08-26,Argentina,Buenos Aires,intermedio,2024-08-28,activa
27,asosa47_27,dguzman@example.net,2024-04-22,Chile,Valparaíso,basico,,activa
28,rodriguezsebastian39_28,martinezsantiago@example.com,2024-11-30,Argentina,Buenos Aires,basico,,activa
29,cirogarcia45_29,franciscarodriguez@example.net,2023-12-28,Chile,Santiago,completo,2024-01-10,activa
30,rodriguezangel-gabriel91_30,martingabriel@example.org,2024-08-14,Colombia,Barranquilla,basico,,activa
31,lolasuarez57_31,kmendoza@example.com,2024-12-11,Colombia,Cali,completo,2024-12-17,activa
32,velazquezthiago-benjamin36_32,sgarcia@example.net,2024-01-12,Argentina,Rosario,basico,,activa
33,sfernandez97_33,leonsilva@example.net,2024-11-16,Argentina,Rosario,intermedio,2024-12-09,activa
34,cardozoisabella87_34,hgimenez@example.org,2024-10-22,Argentina,Buenos Aires,basico,,activa
35,camposbautista41_35,bautistarodriguez@example.org,2023-07-05,Argentina,Córdoba,intermedio,2023-07-23,activa
36,kgomez69_36,claragonzalez@example.org,2024-10-28,Chile,Valparaíso,basico,,activa
37,kdominguez44_37,lucas-benjamin35@example.org,2024-08-28,Argentina,Mendoza,basico,,activa
38,camila4738_38,alexander10@example.com,2024-11-12,Argentina,Tucumán,basico,,activa
39,rodriguezdelfina17_39,valentino51@example.org,2024-11-12,Argentina,Rosario,basico,,suspendida
40,emilia7814_40,tomas80@example.net,2024-05-11,México,Guadalajara,intermedio,2024-06-07,activa
41,isabel1244_41,juan-ignacio18@example.org,2024-08-15,Argentina,Rosario,intermedio,2024-08-28,activa
42,emilia3582_42,lucianoroldan@example.net,2024-11-24,Argentina,Buenos Aires,completo,2024-12-01,activa
43,dmartinez93_43,godoymilena@example.org,2024-12-28,Argentina,Rosario,intermedio,2025-01-04,activa
44,romerovalentino60_44,mateo78@example.net,2024-11-27,Argentina,Mendoza,basico,,activa
45,hcastro28_45,leivahelena@example.org,2024-12-05,México,Puebla,basico,,activa
46,mirandaclara27_46,pedrogonzalez@example.com,2023-12-20,Argentina,Rosario,basico,,activa
47,mendozasofia81_47,vicentesosa@example.net,2024-08-08,Argentina,Córdoba,intermedio,2024-09-01,activa
48,vvaldez43_48,gabrielmartinez@example.org,2023-11-18,Argentina,Tucumán,basico,,activa
49,justinagonzalez84_49,sofia-belen63@example.com,2024-10-15,Chile,Antofagasta,intermedio,2024-10-29,activa
50,maiagomez38_50,mendezdelfina@example.com,2024-04-03,México,Puebla,completo,2024-04-15,activa
51,julieta3375_51,dominguezcamila@example.com,2023-11-16,México,Guadalajara,basico,,activa
52,martinvictoria21_52,iperalta@example.com,2024-06-18,México,Puebla,basico,,activa
53,gomezfaustino24_53,claravelazquez@example.org,2024-06-03,Argentina,Buenos Aires,basico,,activa
54,lunalautaro90_54,lorenzo81@example.com,2024-11-13,México,Guadalajara,basico,,activa
55,valentinavega97_55,gutierrezmicaela@example.net,2024-01-26,Argentina,Córdoba,intermedio,2024-02-21,activa
56,guadaluperodriguez18_56,julian14@example.net,2024-10-10,México,Puebla,intermedio,2024-10-30,activa
57,vicente5658_57,lautaro-benjamin36@example.net,2024-10-03,Argentina,Mendoza,basico,,suspendida
58,lperalta77_58,lola04@example.com,2024-08-28,Colombia,Cartagena,intermedio,2024-09-12,activa
59,pedrosilva80_59,valentin73@example.net,2024-05-15,Argentina,Rosario,basico,,activa
60,yarias97_60,milagrosgarcia@example.net,2024-11-26,Argentina,Buenos Aires,basico,,activa
61,catalina3478_61,micaelafernandez@example.org,2024-10-09,Chile,Santiago,completo,2024-10-31,activa
62,dylan-benjamincabrera92_62,medinaangelina@example.net,2023-07-05,Argentina,Rosario,completo,2023-07-30,activa
63,lucioalvarez47_63,pmartinez@example.net,2024-10-05,Chile,Concepción,completo,2024-10-09,activa
64,escobarcandela30_64,vargasdelfina@example.net,2024-08-07,Colombia,Barranquilla,basico,,activa
65,prodriguez43_65,medinajuan@example.net,2024-12-13,Chile,Viña del Mar,intermedio,2024-12-14,activa
66,maria-guadalupe7932_66,jrivero@example.com,2024-08-22,México,Tijuana,completo,2024-09-16,activa
67,maria-emiliaherrera23_67,gonzalo48@example.com,2024-05-27,Colombia,Cartagena,intermedio,2024-06-26,activa
68,victoriarodriguez91_68,francisco55@example.net,2024-03-07,Argentina,Rosario,basico,,activa
69,fernandezfrancisco35_69,luciarodriguez@example.com,2024-08-28,Colombia,Cartagena,completo,2024-09-17,activa
70,juan-pablo6030_70,zoe-jazminalvarez@example.net,2024-03-21,México,Guadalajara,intermedio,2024-04-02,activa
71,mendezbautista-benjamin77_71,wherrera@example.com,2024-12-14,Colombia,Cartagena,basico,,activa
72,aroldan86_72,pilarperez@example.com,2024-08-13,Argentina,Buenos Aires,basico,,activa
73,alvarezvalentina12_73,dmunoz@example.org,2024-12-25,Argentina,Rosario,intermedio,2025-01-10,activa
74,barriosmia56_74,rodriguezpedro@example.com,2024-08-21,Colombia,Bogotá,basico,,activa
75,isabellaalvarez40_75,facundoromero@example.com,2024-12-15,México,Monterrey,basico,,activa
76,gonzalo6482_76,herreralautaro-ezequiel@example.org,2024-07-02,Argentina,Buenos Aires,intermedio,2024-07-10,activa
77,francisco1072_77,duartesofia@example.org,2024-10-22,México,Ciudad de México,completo,2024-10-25,activa
78,emmaherrera78_78,ortizdelfina@example.net,2024-12-17,México,Ciudad de México,basico,,activa
79,camilo2994_79,ramosmateo@example.com,2024-05-31,Argentina,Córdoba,completo,2024-06-05,activa
80,silvaalexander80_80,truiz@example.org,2024-11-10,Argentina,Mendoza,basico,,activa
81,lunaludmila77_81,santinoramos@example.net,2024-11-02,Argentina,Córdoba,intermedio,2024-11-11,activa
82,ariastiziano37_82,sosapedro@example.com,2024-07-14,Chile,Antofagasta,intermedio,2024-07-28,activa
83,gimenezalma98_83,gpaz@example.com,2024-04-20,Argentina,Tucumán,basico,,activa
84,juan-manuel7249_84,hlopez@example.net,2024-12-24,Argentina,Córdoba,basico,,activa
85,mora8793_85,ubenitez@example.net,2024-12-13,Colombia,Barranquilla,intermedio,2025-01-04,activa
86,juan-cruz3166_86,justina37@example.net,2024-09-20,Argentina,Rosario,basico,,activa
87,fromero25_87,joaquin35@example.com,2024-12-23,Argentina,Tucumán,intermedio,2025-01-07,activa
88,victoria9418_88,gutierrezsantiago@example.org,2024-01-17,Argentina,Córdoba,intermedio,2024-01-25,activa
89,wsuarez12_89,helenamoreno@example.com,2024-06-29,México,Monterrey,basico,,activa
90,farias39_90,delfina34@example.net,2024-07-30,Argentina,Tucumán,intermedio,2024-08-17,activa
91,agustin8510_91,jfranco@example.com,2024-08-12,Argentina,Tucumán,intermedio,2024-08-20,activa
92,federico4490_92,francisco35@example.org,2023-11-03,Chile,Santiago,basico,,suspendida
93,santiagoponce39_93,lisandro89@example.com,2024-12-28,Argentina,Buenos Aires,basico,,activa
94,mirandajuana14_94,joaquin08@example.org,2024-10-23,Argentina,Buenos Aires,intermedio,2024-11-21,activa
95,martina0819_95,genaro27@example.org,2024-11-02,Colombia,Cali,basico,,activa
96,silvavalentin45_96,dromero@example.com,2023-12-20,Argentina,Tucumán,intermedio,2023-12-28,activa
97,egomez79_97,kaguirre@example.net,2024-11-26,México,Puebla,completo,2024-12-03,activa
98,fernandeznina83_98,catalina31@example.net,2024-09-27,México,Guadalajara,completo,2024-10-21,cerrada
99,yjuarez41_99,octavioalvarez@example.com,2023-09-08,Argentina,Tucumán,intermedio,2023-09-24,activa
100,candela6462_100,cabrerathiago-nicolas@example.org,2024-04-23,Colombia,Barranquilla,basico,,activa
101,thiago-benjaminrodriguez22_101,joaquinrodriguez@example.org,2024-02-20,Argentina,Córdoba,completo,2024-02-24,activa
